axis_level,method,p_interval,fraction_in
400,sgs,0.47368421052631576,0.44346364018495166
400,sgs,0.5263157894736842,0.4901218999579655
400,sgs,0.5789473684210527,0.5418242959226566
400,sgs,0.631578947368421,0.582177385456074
400,sgs,0.6842105263157894,0.6313577133249264
400,sgs,0.7368421052631579,0.6742328709541824
400,sgs,0.7894736842105263,0.7213114754098361
400,sgs,0.8421052631578947,0.7814207650273224
400,sgs,0.894736842105263,0.833963850357293
400,sgs,0.9473684210526315,0.8907103825136612
400,sgs,1.0,0.9995796553173603
400,rbf_bootstrap,0.0,0.0
400,rbf_bootstrap,0.05263157894736842,0.017654476670870115
400,rbf_bootstrap,0.10526315789473684,0.034468263976460696
400,rbf_bootstrap,0.15789473684210525,0.044976881042454814
400,rbf_bootstrap,0.21052631578947367,0.05884825556956705
400,rbf_bootstrap,0.2631578947368421,0.07187894073139975
400,rbf_bootstrap,0.3157894736842105,0.08953341740226986
400,rbf_bootstrap,0.3684210526315789,0.10382513661202186
400,rbf_bootstrap,0.42105263157894735,0.1210592686002522
400,rbf_bootstrap,0.47368421052631576,0.14333753678015973
400,rbf_bootstrap,0.5263157894736842,0.15762925598991173
400,rbf_bootstrap,0.5789473684210527,0.17612442202606138
400,rbf_bootstrap,0.631578947368421,0.19630096679277007
400,rbf_bootstrap,0.6842105263157894,0.21941992433795712
400,rbf_bootstrap,0.7368421052631579,0.24674232870954182
400,rbf_bootstrap,0.7894736842105263,0.2694409415720891
400,rbf_bootstrap,0.8421052631578947,0.3005464480874317
400,rbf_bootstrap,0.894736842105263,0.34131988230348886
400,rbf_bootstrap,0.9473684210526315,0.4026902059688945
400,rbf_bootstrap,1.0,0.96427070197562
400,gp_mle,0.0,0.0
400,gp_mle,0.05263157894736842,0.04581757040773434
400,gp_mle,0.10526315789473684,0.09709962168978563
400,gp_mle,0.15789473684210525,0.1471206389239176
400,gp_mle,0.21052631578947367,0.19546027742749053
400,gp_mle,0.2631578947368421,0.24548129466162252
400,gp_mle,0.3157894736842105,0.30012610340479196
400,gp_mle,0.3684210526315789,0.35224884405212276
400,gp_mle,0.42105263157894735,0.40395124001681376
400,gp_mle,0.47368421052631576,0.45649432534678436
400,gp_mle,0.5263157894736842,0.5128205128205128
400,gp_mle,0.5789473684210527,0.5615804960067255
400,gp_mle,0.631578947368421,0.6221101303068516
400,gp_mle,0.6842105263157894,0.6729718369062632
400,gp_mle,0.7368421052631579,0.7213114754098361
400,gp_mle,0.7894736842105263,0.7688104245481294
400,gp_mle,0.8421052631578947,0.8163093736864229
400,gp_mle,0.894736842105263,0.8797814207650273
400,gp_mle,0.9473684210526315,0.937368642286675
400,gp_mle,1.0,1.0
500,kriging,0.0,0.0
500,kriging,0.05263157894736842,0.047078604455653636
500,kriging,0.10526315789473684,0.0949978982765868
500,kriging,0.15789473684210525,0.14123581336696092
500,kriging,0.21052631578947367,0.1925178646490122
500,kriging,0.2631578947368421,0.24043715846994534
500,kriging,0.3157894736842105,0.296343001261034
500,kriging,0.3684210526315789,0.34972677595628415
500,kriging,0.42105263157894735,0.39974779319041615
500,kriging,0.47368421052631576,0.45397225725094575
